product,prod_date,company,ratio
20170008,2018-12-14,"Qingdao Shihua in Dongjiakou",0.875
20170008,2018-12-23,"Qingdao Shihua in Dongjiakou",0.625
20170008,2018-12-28,"Qingdao Shihua in Dongjiakou",0.625
20170008,2019-01-05,"Qingdao Shihua in Dongjiakou",0.3875
20170008,2019-01-13,"Qingdao Shihua in Dongjiakou",0.45
20170008,2019-01-20,"Qingdao Shihua in Dongjiakou",0.3625
20170008,2019-01-25,"Qingdao Shihua in Dongjiakou",0.5625
20170008,2019-02-01,"Qingdao Shihua in Dongjiakou",0.78125
20170008,2019-02-23,"Qingdao Shihua in Dongjiakou",0.74
20170008,2019-03-08,"Qingdao Shihua in Dongjiakou",0.9025
20170008,2019-03-19,"Qingdao Shihua in Dongjiakou",0.53
20170008,2019-03-27,"Qingdao Shihua in Dongjiakou",0.785
20170008,2019-04-03,"Qingdao Shihua in Dongjiakou",0.69625
20170008,2019-04-14,"Qingdao Shihua in Dongjiakou",0.6925
20170008,2019-04-18,"Qingdao Shihua in Dongjiakou",0.7425
20170008,2019-05-02,"Qingdao Shihua in Dongjiakou",0.815
20170008,2019-05-09,"Qingdao Shihua in Dongjiakou",0.595
20170008,2019-05-18,"Qingdao Shihua in Dongjiakou",0.5075
20170008,2019-05-22,"Qingdao Shihua in Dongjiakou",0.41
20170008,2019-06-03,"Qingdao Shihua in Dongjiakou",0.5475
20170008,2019-06-16,"Qingdao Shihua in Dongjiakou",0.595
20170008,2019-06-19,"Qingdao Shihua in Dongjiakou",0.69875
20170008,2019-06-24,"Qingdao Shihua in Dongjiakou",0.81125
20170008,2019-07-10,"Qingdao Shihua in Dongjiakou",0.82
20170008,2019-07-20,"Qingdao Shihua in Dongjiakou",0.70625
20170008,2019-07-22,"Qingdao Shihua in Dongjiakou",0.53625
20170008,2019-08-03,"Qingdao Shihua in Dongjiakou",0.68375
20170008,2019-08-05,"Qingdao Shihua in Dongjiakou",0.6775
20170008,2019-08-17,"Qingdao Shihua in Dongjiakou",0.47
20170008,2019-08-19,"Qingdao Shihua in Dongjiakou",0.775
20170008,2019-08-28,"Qingdao Shihua in Dongjiakou",0.5725
20170008,2019-09-04,"Qingdao Shihua in Dongjiakou",0.56125
20170008,2019-09-09,"Qingdao Shihua in Dongjiakou",0.59125
20170008,2019-09-18,"Qingdao Shihua in Dongjiakou",0.1775
20170008,2019-09-23,"Qingdao Shihua in Dongjiakou",0.1775
20170008,2019-09-30,"Qingdao Shihua in Dongjiakou",0.13375
20170008,2019-10-19,"Qingdao Shihua in Dongjiakou",0.80625
20170008,2019-10-24,"Qingdao Shihua in Dongjiakou",0.75625
20170008,2019-10-29,"Qingdao Shihua in Dongjiakou",0.76875
20170008,2019-11-07,"Qingdao Shihua in Dongjiakou",0.685
20170008,2019-11-14,"Qingdao Shihua in Dongjiakou",0.8175
20170008,2019-11-20,"Qingdao Shihua in Dongjiakou",0.78625
20170008,2019-11-28,"Qingdao Shihua in Dongjiakou",0.75625
20170008,2019-12-04,"Qingdao Shihua in Dongjiakou",0.5375
20170008,2019-12-11,"Qingdao Shihua in Dongjiakou",0.7425
20170008,2019-12-20,"Qingdao Shihua in Dongjiakou",0.65125
20170008,2019-12-23,"Qingdao Shihua in Dongjiakou",0.8025
20190014,2020-01-30,Dongjiakou,0.605362359167727
20190014,2020-02-03,Dongjiakou,0.625359633381792
20190014,2020-02-12,Dongjiakou,0.640183649827367
20190014,2020-02-17,Dongjiakou,0.660897635380701
20190014,2020-02-26,Dongjiakou,0.630362586316555
20190014,2020-03-03,Dongjiakou,0.640005905869526
20190014,2020-03-10,Dongjiakou,0.670541011720879
20190014,2020-03-30,Dongjiakou,0.5994661434672
20190015,2020-01-14,Lanshan,0.566392373109177
20190015,2020-01-30,Lanshan,0.595054126533476
20190015,2020-02-04,Lanshan,0.647011303954417
20190015,2020-02-10,Lanshan,0.641546196061975
20190015,2020-02-17,Lanshan,0.524948266705133
20190015,2020-02-26,Lanshan,0.628140879793853
20190015,2020-03-03,Lanshan,0.750102778123832
20190015,2020-03-11,Lanshan,0.651752276855088
20190015,2020-03-23,Lanshan,0.639995803636411
20190015,2020-03-30,Lanshan,0.698759843423184
